OFF_RATING_ADJUSTED,DEF_RATING_ADJUSTED,AST_PCT_ADJUSTED,BLK,STL,TS_PCT,FG3_PCT,INFLUENCE_SCORE,ON_OFF_DIFF,PLAYER_NAME,PLAYER_ID_x,TEAM_ABBREVIATION,SEASON,COMPOSITE_SCORE_NORM,SALARY,VORPD,IS_SHOOTER,SEASON_WEIGHT,CLUSTER,ARCHETYPE,PCA_X,PCA_Y,PLAYER_ID_y,AGE,NET_SYNERGY_PROFILE,COMPOSITE_SYNERGY,SCENARIO
5.92,0.91,0.15,0.9,2,63.04%,35.30%,0.20,8.32,Shai Gilgeous-Alexander,1628983,OKC,2023-24,91.39,"$33,729,226.00",1.95,1,0.45,3,Elite Playmaker,5.17,1.47,1628983,25,0.06,91.41,A
5.49,-4.92,0.24,0.2,1.8,56.47%,35.50%,0.18,3.12,LaMelo Ball,1630163,CHA,2023-24,84.04,"$33,399,888.00",1.75,1,0.45,3,Elite Playmaker,3.57,3.71,1630163,22,0.91,84.41,A
2.36,2.50,0.04,0.3,2.1,56.10%,31.30%,0.13,7.18,Marcus Smart,203935,MEM,2023-24,78.08,"$17,528,347.00",3.00,1,0.45,3,Elite Playmaker,2.45,1.85,203935,30,4.48,79.87,A
7.97,-0.83,0.01,0.4,1.6,54.54%,36.00%,0.10,8.51,De'Anthony Melton,1629001,PHI,2023-24,69.16,"$2,710,900.00",16.12,1,0.45,5,Perimeter Scorer,2.40,0.82,1629001,26,-0.71,68.88,A
0.09,2.94,0.03,3.6,1.2,56.61%,32.50%,0.18,6.18,Victor Wembanyama,1641705,SAS,2023-24,68.86,"$11,770,308.00",3.69,1,0.45,4,Two-Way Big,3.55,-1.49,1641705,20,-0.39,68.70,A
3.09,2.34,0.11,0.1,1,58.78%,33.50%,0.09,13.18,Tre Jones,1630200,SAS,2023-24,66.92,"$7,039,195.00",5.89,1,0.45,0,Defensive Wing,1.77,0.54,1630200,24,1.70,67.60,A
-0.22,3.65,0.12,0.2,1.2,52.87%,29.40%,0.09,6.30,Dennis Smith Jr.,1628372,BKN,2023-24,65.74,"$3,000,000.00",13.43,1,0.45,0,Defensive Wing,0.51,1.90,1628372,26,2.01,66.54,A
0.30,6.95,-0.05,0.9,1.4,54.89%,36.00%,0.10,9.84,Tari Eason,1631106,HOU,2023-24,64.21,"$4,994,103.00",7.76,1,0.45,0,Defensive Wing,1.55,-0.48,1631106,23,2.88,65.36,A
-1.54,-0.50,0.14,0.5,1.7,58.72%,41.70%,0.13,0.67,Scotty Pippen Jr.,1630590,MEM,2023-24,65.26,"$1,998,018.00",19.92,1,0.45,3,Elite Playmaker,2.17,1.61,1630590,23,-2.00,64.46,A
-0.92,5.21,0.17,0.2,0.7,57.74%,30.80%,0.11,7.86,Jared Butler,1630215,WAS,2023-24,64.27,"$2,019,706.00",19.22,1,0.45,0,Defensive Wing,0.87,1.14,1630215,23,-0.52,64.06,A
1.33,1.35,0.15,0.3,1.1,52.52%,27.30%,0.13,0.78,Russell Westbrook,201566,LAC,2023-24,65.36,"$2,020,490.00",19.75,1,0.45,2,Versatile Scorer,0.58,2.60,201566,35,-5.65,63.10,A
4.84,1.52,0.09,0.4,1,55.55%,36.90%,0.07,9.51,Kris Dunn,1627739,UTA,2023-24,62.48,"$4,774,686.00",7.75,1,0.45,5,Perimeter Scorer,1.53,0.36,1627739,30,-5.72,60.19,A
-0.94,1.87,0.18,0.1,1.2,55.16%,37.10%,0.08,1.15,Chris Paul,101108,GSW,2023-24,60,"$2,020,490.00",17.10,1,0.45,2,Versatile Scorer,0.59,1.87,101108,39,0.34,60.14,A
1.85,0.93,-0.07,1.5,0.6,58.71%,35.59%,0.10,3.20,Clint Capela,203991,ATL,2023-24,41.86,"$5,895,326.00",2.78,0,0.45,4,Two-Way Big,0.80,-1.91,203991,30,3.08,43.09,A
-2.63,-0.42,0.08,0.4,1,58.87%,39.20%,0.08,-3.11,Kyle Lowry,200768,PHI,2023-24,41.72,"$2,020,490.00",8.05,1,0.45,6,Bench / Role Player,-0.09,0.29,200768,38,-0.17,41.65,A
